trip_id,route_id
35902711,53425
35902712,53425
35902713,53425
35902714,53425
35902715,53425
35902716,53425
35902717,53425
35902718,53425
35902719,53425
35902720,53425
35902721,53425
35902722,53425
35902723,53425
35902724,53425
35902725,53425
35902726,53425
35902727,53425
35902728,53425
35902729,53425
35902730,53425
35902731,53425
35902732,53425
35902733,53425
35902734,53425
35902735,53425
35902736,53425
35902737,53425
35902738,53425
35902739,53425
35902740,53425
35902741,53425
35902742,53425
35902743,53425
35902744,53425
35902745,53425
35902746,53425
35902747,53425
35902748,53425
35902749,53425
35902750,53425
35902751,53425
35902752,53425
35902753,53425
35902754,53425
35902755,53425
35902756,53425
35902757,53425
35902758,53425
35902759,53425
35902760,53425
35902761,53425
35902762,53425
35902763,53425
35902764,53425
35902765,53425
35902766,53425
35902816,53425
35902817,53425
35902818,53425
35902819,53425
35902848,53425
35902849,53425
35902850,53425
35902851,53425
35902852,53425
35902853,53425
35902854,53425
35902855,53425
35902856,53425
35902857,53425
35902858,53425
35902859,53425
35902860,53425
35902840,53425
35902841,53425
35902842,53425
35902843,53425
35902844,53425
35902845,53425
35902846,53425
35902847,53425
35902837,53425
35902838,53425
35902839,53425
35902820,53425
35902821,53425
35902822,53425
35902823,53425
35902824,53425
35902825,53425
35902826,53425
35902827,53425
35902828,53425
35902829,53425
35902830,53425
35902831,53425
35902832,53425
35902833,53425
35902834,53425
35902835,53425
35902836,53425
35902937,53425
35902936,53425
35902938,53425
35902939,53425
35902940,53425
35902941,53425
35902942,53425
35902943,53425
35902944,53425
35902945,53425
35902946,53425
35902947,53425
35902948,53425
35902949,53425
35902950,53425
35902951,53425
35902952,53425
35902953,53425
35902954,53425
35902955,53425
35902956,53425
35902957,53425
35902958,53425
35902959,53425
35902960,53425
35902961,53425
35902962,53425
35902963,53425
35902964,53425
35902965,53425
35902966,53425
35902967,53425
35902968,53425
35902969,53425
35902970,53425
35902971,53425
35902972,53425
35902973,53425
35902974,53425
35902975,53425
35902976,53425
35902977,53425
35902978,53425
35902979,53425
35902980,53425
35902981,53425
35902982,53425
35902983,53425
35902984,53425
35902985,53425
35902986,53425
35902864,53425
35902865,53425
35902866,53425
35902867,53425
35902868,53425
35902869,53425
35902870,53425
35902871,53425
35902872,53425
35902873,53425
35902874,53425
35902875,53425
35902876,53425
35902877,53425
35902878,53425
35902879,53425
35902880,53425
35902881,53425
35902882,53425
35902883,53425
35902884,53425
35902885,53425
35902886,53425
35902887,53425
35902888,53425
35902889,53425
35902890,53425
35902891,53425
35902892,53425
35902893,53425
35902894,53425
35902895,53425
35902896,53425
35902897,53425
35902898,53425
35902899,53425
35902900,53425
35902901,53425
35902902,53425
35902903,53425
35902904,53425
35902905,53425
35902906,53425
35902907,53425
35902908,53425
35902909,53425
35902910,53425
35902911,53425
35902912,53425
35902913,53425
35902914,53425
35902915,53425
35902916,53425
35902917,53425
35902918,53425
35902919,53425
35902920,53425
35902921,53425
35902922,53425
35902923,53425
35902924,53425
35902925,53425
35902926,53425
35902927,53425
35902928,53425
35902929,53425
35902930,53425
35902931,53425
35902932,53425
35902933,53425
35902934,53425
35902935,53425
35902987,53425
35902988,53425
35902989,53425
35902990,53425
35902991,53425
35902992,53425
35902993,53425
35902994,53425
35902995,53425
35902996,53425
35902997,53425
35902998,53425
35902999,53425
35903000,53425
35903001,53425
35903002,53425
35903003,53425
35903004,53425
35903005,53425
35903006,53425
35903007,53425
35903008,53425
35903009,53425
35903010,53425
35903011,53425
35903012,53425
35903013,53425
35903014,53425
35903015,53425
35903016,53425
35903017,53425
35903018,53425
35903019,53425
35903020,53425
35903021,53425
35903022,53425
35903023,53425
35903024,53425
35903025,53425
35903026,53425
35903027,53425
35903028,53425
35903029,53425
35903030,53425
35903031,53425
35903032,53425
35903033,53425
35903034,53425
35903035,53425
35903036,53425
35903037,53425
35903038,53425
35903039,53425
35903040,53425
35903041,53425
35903042,53425
35903043,53425
35903044,53425
35903045,53425
35903046,53425
35903047,53425
35903048,53425
35903049,53425
35903050,53425
35903051,53425
35903052,53425
35903053,53425
35903054,53425
35903055,53425
35903056,53425
35903066,53426
35903067,53426
35903068,53426
35903069,53426
35903070,53426
35903071,53426
35903072,53426
35903073,53426
35903074,53426
35903075,53426
35903076,53426
35903077,53426
35903104,53426
35903078,53426
35903079,53426
35903080,53426
35903081,53426
35903059,53426
35903061,53426
35903100,53426
35903101,53426
35903102,53426
35903103,53426
35903082,53426
35903083,53426
35903084,53426
35903085,53426
35903086,53426
35903087,53426
35903088,53426
35903089,53426
35903090,53426
35903091,53426
35903095,53426
35903096,53426
35903097,53426
35903098,53426
35903099,53426
35903062,53426
35903063,53426
35903064,53426
35903060,53426
35903065,53426
35903092,53426
35903093,53426
35903094,53426
35903123,53426
35903124,53426
35903125,53426
35903126,53426
35903127,53426
35903128,53426
35903129,53426
35903130,53426
35903131,53426
35903132,53426
35903133,53426
35903137,53426
35903138,53426
35903139,53426
35903140,53426
35903141,53426
35903142,53426
35903143,53426
35903144,53426
35903145,53426
35903146,53426
35903147,53426
35903148,53426
35903149,53426
35903150,53426
35903105,53426
35903106,53426
35903107,53426
35903108,53426
35903109,53426
35903110,53426
35903111,53426
35903112,53426
35903113,53426
35903114,53426
35903115,53426
35903116,53426
35903117,53426
35903118,53426
35903119,53426
35903120,53426
35903121,53426
35903122,53426
35903134,53426
35903135,53426
35903136,53426
35903214,53427
35903215,53427
35903206,53427
35903207,53427
35903224,53427
35903212,53427
35903220,53427
35903211,53427
35903205,53427
35903210,53427
35903221,53427
35903222,53427
35903204,53427
35903209,53427
35903223,53427
35903158,53427
35903183,53427
35903157,53427
35903208,53427
35903156,53427
35903168,53427
35903155,53427
35903159,53427
35903154,53427
35903169,53427
35903153,53427
35903160,53427
35903152,53427
35903170,53427
35903151,53427
35903161,53427
35903163,53427
35903171,53427
35903164,53427
35903162,53427
35903165,53427
35903172,53427
35903166,53427
35903177,53427
35903167,53427
35903173,53427
35903175,53427
35903219,53427
35903176,53427
35903174,53427
35903218,53427
35903216,53427
35903200,53427
35903179,53427
35903199,53427
35903178,53427
35903213,53427
35903180,53427
35903217,53427
35903198,53427
35903189,53427
35903203,53427
35903188,53427
35903197,53427
35903196,53427
35903187,53427
35903202,53427
35903186,53427
35903195,53427
35903194,53427
35903185,53427
35903201,53427
35903184,53427
35903193,53427
35903192,53427
35903181,53427
35903235,53427
35903182,53427
35903191,53427
35903190,53427
35903225,53427
35903236,53427
35903226,53427
35903234,53427
35903231,53427
35903227,53427
35903237,53427
35903228,53427
35903232,53427
35903233,53427
35903229,53427
35903238,53427
35903230,53427
35903239,53427
35903240,53427
35903247,53427
35903369,53427
35903253,53427
35903248,53427
35903241,53427
35903242,53427
35903249,53427
35903349,53427
35903250,53427
35903243,53427
35903244,53427
35903370,53427
35903251,53427
35903254,53427
35903371,53427
35903252,53427
35903245,53427
35903372,53427
35903246,53427
35903373,53427
35903255,53427
35903273,53427
35903374,53427
35903266,53427
35903344,53427
35903272,53427
35903256,53427
35903375,53427
35903341,53427
35903345,53427
35903271,53427
35903265,53427
35903277,53427
35903346,53427
35903342,53427
35903267,53427
35903343,53427
35903347,53427
35903340,53427
35903264,53427
35903268,53427
35903263,53427
35903276,53427
35903262,53427
35903269,53427
35903261,53427
35903275,53427
35903260,53427
35903270,53427
35903259,53427
35903274,53427
35903258,53427
35903278,53427
35903257,53427
35903288,53427
35903282,53427
35903279,53427
35903283,53427
35903289,53427
35903284,53427
35903280,53427
35903285,53427
35903368,53427
35903286,53427
35903281,53427
35903287,53427
35903290,53427
35903293,53427
35903336,53427
35903294,53427
35903291,53427
35903367,53427
35903337,53427
35903365,53427
35903292,53427
35903366,53427
35903302,53427
35903364,53427
35903338,53427
35903363,53427
35903301,53427
35903304,53427
35903362,53427
35903305,53427
35903360,53427
35903300,53427
35903303,53427
35903361,53427
35903299,53427
35903335,53427
35903306,53427
35903298,53427
35903334,53427
35903307,53427
35903297,53427
35903330,53427
35903339,53427
35903357,53427
35903359,53427
35903333,53427
35903296,53427
35903331,53427
35903308,53427
35903358,53427
35903295,53427
35903350,53427
35903332,53427
35903314,53427
35903351,53427
35903313,53427
35903329,53427
35903352,53427
35903312,53427
35903353,53427
35903328,53427
35903311,53427
35903310,53427
35903309,53427
35903327,53427
35903315,53427
35903316,53427
35903317,53427
35903326,53427
35903354,53427
35903355,53427
35903318,53427
35903324,53427
35903319,53427
35903320,53427
35903321,53427
35903325,53427
35903322,53427
35903323,53427
35903348,53427
35903356,53427
35903398,53427
35903458,53427
35903481,53427
35903469,53427
35903482,53427
35903470,53427
35903483,53427
35903471,53427
35903484,53427
35903494,53427
35903472,53427
35903504,53427
35903485,53427
35903495,53427
35903473,53427
35903505,53427
35903486,53427
35903496,53427
35903474,53427
35903506,53427
35903487,53427
35903497,53427
35903475,53427
35903507,53427
35903488,53427
35903498,53427
35903476,53427
35903508,53427
35903489,53427
35903499,53427
35903477,53427
35903509,53427
35903490,53427
35903500,53427
35903478,53427
35903510,53427
35903491,53427
35903501,53427
35903479,53427
35903511,53427
35903492,53427
35903502,53427
35903480,53427
35903512,53427
35903376,53427
35903503,53427
35903493,53427
35903517,53427
35903424,53427
35903399,53427
35903423,53427
35903400,53427
35903422,53427
35903518,53427
35903425,53427
35903401,53427
35903516,53427
35903426,53427
35903402,53427
35903427,53427
35903428,53427
35903403,53427
35903429,53427
35903515,53427
35903404,53427
35903430,53427
35903431,53427
35903405,53427
35903432,53427
35903406,53427
35903433,53427
35903434,53427
35903407,53427
35903435,53427
35903408,53427
35903436,53427
35903437,53427
35903409,53427
35903438,53427
35903410,53427
35903439,53427
35903440,53427
35903411,53427
35903441,53427
35903412,53427
35903442,53427
35903443,53427
35903413,53427
35903444,53427
35903414,53427
35903445,53427
35903446,53427
35903415,53427
35903447,53427
35903416,53427
35903448,53427
35903449,53427
35903417,53427
35903450,53427
35903451,53427
35903418,53427
35903452,53427
35903419,53427
35903453,53427
35903420,53427
35903468,53427
35903461,53427
35903467,53427
35903462,53427
35903421,53427
35903454,53427
35903387,53427
35903455,53427
35903465,53427
35903457,53427
35903459,53427
35903456,53427
35903466,53427
35903460,53427
35903377,53427
35903388,53427
35903378,53427
35903389,53427
35903379,53427
35903390,53427
35903380,53427
35903391,53427
35903381,53427
35903392,53427
35903382,53427
35903393,53427
35903383,53427
35903514,53427
35903394,53427
35903384,53427
35903395,53427
35903513,53427
35903385,53427
35903396,53427
35903386,53427
35903397,53427
35903519,53427
35903526,53427
35903520,53427
35903527,53427
35903521,53427
35903528,53427
35903522,53427
35903529,53427
35903523,53427
35903530,53427
35903524,53427
35903531,53427
35903525,53427
35903532,53427
35903576,53427
35903575,53427
35903574,53427
35903547,53427
35903534,53427
35903581,53427
35903533,53427
35903582,53427
35903577,53427
35903583,53427
35903535,53427
35903584,53427
35903578,53427
35903585,53427
35903570,53427
35903586,53427
35903596,53427
35903536,53427
35903537,53427
35903587,53427
35903595,53427
35903538,53427
35903571,53427
35903588,53427
35903597,53427
35903541,53427
35903589,53427
35903539,53427
35903598,53427
35903543,53427
35903599,53427
35903590,53427
