stop_id,stop_code,stop_name
468,5519,ROUGE HILL GO STATION LOOP
469,10939,ROUGE HILL GO STATION LOOP AT LAWRENCE AVE EAST
470,6530,ROUGE HILL GO STATION LOOP AT LAWRENCE AVE EAST
475,7948,EARLSCOURT LOOP AT ST CLAIR AVE WEST
477,4435,LONG BRANCH LOOP
478,10927,QUEENS QUAY LOOP AT LOWER SPADINA AVE
481,11155,SUNNYSIDE LOOP
485,14061,WESTWOOD MALL LOOP AT MORNING STAR DR
486,2852,LUMSDEN AVE AT WESTLAKE AVE
487,11364,PROGRESS AVE AT MARKHAM RD EAST SIDE
489,11845,QUEEN ST EAST AT KINGSTON RD
490,13461,QUEEN ST EAST AT KINGSTON RD
491,6051,QUEEN ST WEST AT SHAW ST
492,8038,QUEEN'S PARK CRES WEST AT HOSKIN AVE
493,1459,QUEEN'S PARK CRES EAST AT ST JOSEPH ST NORTH SIDE
494,1461,QUEEN'S PARK CRES WEST AT QUEEN'S PARK CRES WEST
495,1463,QUEEN'S PARK CRES WEST AT UNIVERSITY LIBRARY
496,12139,THE QUEENSWAY AT MORGAN AVE
497,6920,THE QUEENSWAY AT STEPHEN DR
498,6923,THE QUEENSWAY AT WINDERMERE AVE WEST SIDE
500,6011,RATHBURN RD AT LLOYD MANOR RD
501,10880,REDPATH AVE AT BROADWAY AVE
502,11109,REDPATH AVE AT BROADWAY AVE
503,10878,REDPATH AVE AT EGLINTON AVE EAST NORTH SIDE
504,11123,REDPATH AVE AT EGLINTON AVE EAST
505,11122,REDPATH AVE AT ERSKINE AVE SOUTH SIDE
506,10881,REDPATH AVE AT ERSKINE AVE
507,10879,REDPATH AVE AT ROEHAMPTON AVE
508,11110,REDPATH AVE AT ROEHAMPTON AVE
510,8069,RENFORTH DR AT EGLINTON AVE WEST
512,11628,MICHAEL POWER / ST JOSEPH H.S.
513,11627,MICHAEL POWER / ST JOSEPH H.S.
514,11346,RICHMOND ST EAST AT JARVIS ST WEST SIDE
515,11319,RICHMOND ST EAST AT SHERBOURNE ST WEST SIDE
520,6031,ROGERS RD AT KEELE ST
522,6991,ROYAL YORK RD AT DIXON RD
523,12175,ROYAL YORK RD AT EGLINTON AVE WEST SOUTH SIDE
526,8082,SENTINEL RD AT FINCH AVE WEST
527,4498,SENTINEL RD AT THE POND RD
528,10870,SEWELLS RD AT BRENYON WAY EAST SIDE
529,10873,SEWELLS RD AT BRENYON WAY
530,10871,SEWELLS RD AT MCLEVIN AVE
532,7172,SHEPPARD AVE EAST AT COMMONS DR
533,11025,SHEPPARD AVE EAST AT COMMONS DR
534,11669,SHEPPARD AVE EAST AT MEADOWVALE RD
535,13918,SHEPPARD AVE EAST AT VICTORIA PARK AVE EAST SIDE
536,6069,SHEPPARD AVE WEST AT JANE ST EAST SIDE
537,6087,SHEPPARD AVE WEST AT SENTINEL RD
538,4598,SHEPPARD AVE AT WILLIAM R ALLEN RD WEST SIDE
540,3117,SHERWAY GARDENS RD AT SHERWAY GATE (MALL)
541,9108,SHERWAY GARDENS RD AT SHERWAY GATE (MALL) WEST SIDE
542,9109,SHERWAY GARDENS RD AT SHERWAY GATE (MALL)
543,11587,SHERWAY GARDENS RD AT SHERWAY GATE MALL)
549,1262,MAIN ST AT DANFORTH AVE
550,11826,MAIN ST AT DANFORTH AVE
551,2855,MAIN ST AT DONCASTER AVE
552,1264,MAIN ST AT GERRARD ST EAST
553,13923,MAIN ST AT GERRARD ST EAST
556,11990,EXHIBITION LOOP
557,11989,EXHIBITION LOOP
558,13900,MARKHAM RD AT PASSMORE AVE NORTH SIDE
560,11331,MARTIN GROVE RD AT FINCH AVE WEST NORTH SIDE
561,5620,MARTIN GROVE RD AT JOHN GARLAND BLVD
562,5627,MARTIN GROVE RD AT MERCURY RD
563,7957,WESTHUMBER BLVD AT MARTIN GROVE RD NORTH SIDE
564,1286,2061 MCCOWAN RD
565,777,MCCOWAN RD AT BUSHBY DR NORTH SIDE
567,9807,MCCOWAN RD AT STEELES AVE EAST NORTH SIDE
568,10577,MCCOWAN AVE AT STEELES AVE EAST SOUTH SIDE
569,9616,MCCOWAN RD AT TOWN CENTRE CRT
570,2874,1020 MCNICOLL AVE
571,12017,MCNICOLL AVE AT SILVER SPRINGS BLVD
572,12035,MCNICOLL AVE AT SILVER SPRINGS BLVD
573,9179,MCNICOLL AVE AT VICTORIA PARK AVE
574,6575,MEADOWVALE RD AT SHEPPARD AVE EAST
576,11415,MILITARY TRAIL AT MORNINGSIDE AVE
577,5753,MILLWOOD RD AT OVERLEA BLVD NORTH SIDE
578,4484,MILLWOOD RD AT OVERLEA BLVD
579,10947,MORNINGSIDE AVE AT CASEBRIDGE CRT NORTH SIDE
580,11249,MORNINGSIDE AVE AT JOHN STONER DR SOUTH SIDE
581,13906,NIGHTSTAR RD AT MORNINGSIDE AVE NORTH SIDE
582,14104,MORNINGSIDE AVE AT WALKWAY SOUTH OF OASIS
583,5755,MORNING STAR DR AT CATALPA RD
584,5756,MORNING STAR DR AT CATALPA RD
585,5758,MORNING STAR DR AT AIRPORT RD EAST SIDE
586,5759,MORNING STAR DR AT LANCASTER AVE
587,5760,MORNING STAR DR AT MANION RD
588,5763,MORNING STAR DR AT REINDEER DR WEST SIDE
589,5764,MORNING STAR DR AT REINDEER DR
590,5773,MORTIMER AVE AT COXWELL AVE WEST SIDE (EAST GEN HOSPITAL)
591,5813,MT PLEASANT RD AT EGLINTON AVE EAST NORTH SIDE
592,11453,MT PLEASANT RD AT ELM AVE
593,11705,MT PLEASANT RD AT INGLEWOOD DR
594,10883,MT PLEASANT RD AT ST CLAIR AVE EAST SOUTH SIDE
595,1380,NEILSON RD AT FINCH AVE EAST SOUTH SIDE
596,11667,NEILSON RD AT FINCH AVE EAST SOUTH SIDE
597,5904,OAKWOOD AVE AT EGLINTON AVE SOUTH SIDE
598,5911,OAKWOOD AVE AT ROGERS RD
599,1419,OCONNOR DR AT PAPE AVE
